x,y,vx,vy,timestamp
256,124,200,0,4.409
259,124,200,0,4.435
262,124,200,0,4.461
265,124,200,0,4.487
268,124,200,0,4.513
271,124,200,0,4.539
274,124,200,0,4.567
277,124,200,0,4.595
280,124,200,0,4.623
283,124,200,0,4.649
286,124,200,0,4.676
289,124,200,0,4.701
292,124,200,0,4.728
295,124,200,0,4.755
298,124,200,0,4.781
301,124,200,0,4.807
304,124,200,0,4.833
307,124,200,0,4.86
310,124,200,0,4.885
313,124,200,0,4.911
316,124,200,0,4.937
319,124,200,0,4.964
322,124,200,0,4.99
325,124,200,0,5.014
328,124,200,0,5.04
331,124,200,0,5.067
334,124,200,0,5.092
337,124,200,0,5.119
340,124,200,0,5.145
343,124,200,0,5.171
346,124,200,0,5.197
349,124,200,0,5.223
352,124,200,0,5.249
355,124,200,0,5.275
358,124,200,0,5.301
361,124,200,0,5.328
364,124,200,0,5.353
367,124,200,0,5.38
370,124,200,0,5.405
373,124,200,0,5.432
376,124,200,0,5.458
379,124,200,0,5.484
382,124,200,0,5.51
385,124,200,0,5.537
388,124,200,0,5.564
391,124,200,0,5.589
394,124,200,0,5.618
397,124,200,0,5.645
400,124,200,0,5.673
403,124,200,0,5.699
406,124,200,0,5.725
409,124,200,0,5.751
412,124,200,0,5.777
415,124,200,0,5.803
418,124,200,0,5.83
421,124,200,0,5.856
424,124,200,0,5.882
427,124,200,0,5.908
430,124,200,0,5.935
433,124,200,0,5.961
436,124,200,0,5.987
439,124,200,0,6.013
442,124,200,0,6.04
445,124,200,0,6.065
448,124,200,0,6.091
451,124,200,0,6.117
454,124,200,0,6.143
457,124,200,0,6.171
460,124,200,0,6.199
463,124,200,0,6.227
466,124,200,0,6.253
469,124,200,0,6.279
472,124,200,0,6.305
475,124,200,0,6.331
478,124,200,0,6.357
481,124,200,0,6.383
484,124,200,0,6.409
487,124,200,0,6.435
490,124,200,0,6.461
493,124,200,0,6.487
496,124,200,0,6.513
499,124,200,0,6.54
502,124,200,0,6.566
505,124,200,0,6.592
508,124,200,0,6.619
511,124,200,0,6.645
514,127,200,200,6.672
517,130,200,200,6.697
520,133,200,200,6.723
523,136,200,200,6.749
526,139,200,200,6.775
529,142,200,200,6.802
532,145,200,200,6.829
535,148,200,200,6.855
538,151,200,200,6.881
541,154,200,200,6.907
544,157,200,200,6.933
547,160,200,200,6.959
550,163,200,200,6.985
553,166,200,200,7.01
556,169,200,200,7.036
559,172,200,200,7.062
562,175,200,200,7.087
565,178,200,200,7.113
568,181,200,200,7.139
571,184,200,200,7.165
571,187,0,200,7.191
571,190,0,200,7.218
571,193,0,200,7.244
571,196,0,200,7.269
571,199,0,200,7.295
571,202,0,200,7.321
571,205,0,200,7.347
571,208,0,200,7.373
571,211,0,200,7.398
571,214,0,200,7.425
571,217,0,200,7.451
571,220,0,200,7.477
571,223,0,200,7.502
571,226,0,200,7.529
571,229,0,200,7.556
571,232,0,200,7.582
571,235,0,200,7.608
574,238,200,200,7.634
577,241,200,200,7.663
580,244,200,200,7.689
583,247,200,200,7.715
586,250,200,200,7.741
589,250,200,0,7.767
592,250,200,0,7.793
595,250,200,0,7.82
598,250,200,0,7.847
601,250,200,0,7.874
604,250,200,0,7.9
607,250,200,0,7.927
610,250,200,0,7.953
613,247,200,-200,7.979
616,244,200,-200,8.004
619,241,200,-200,8.03
622,238,200,-200,8.056
625,235,200,-200,8.082
